experiment,n,i,model,reasoning_budget,temperature,response_chars,thoughts_chars,first_correction,valid_prefix_length,is_valid_solution
hanoi-trck,14,0,claude-3-7-sonnet-20250219,0,0.1,42009,4,-1,5,0
hanoi-trck,14,0,claude-3-7-sonnet-20250219,32000,0.1,19311,31833,-1,6,0
hanoi-trck,14,0,deepseek-chat,0,0.1,10206,4,-1,4,0
hanoi-trck,14,0,gemini-2.5-pro-preview-06-05,32000,0.1,56863,1801,-1,14,0
hanoi-trck,14,0,gpt-4.1-2025-04-14,0,0.1,2617,4,-1,4,0
hanoi-trck,14,0,sonar-reasoning-pro,32000,0.1,1521,5299,-1,0,0
hanoi-trck,14,1,claude-3-7-sonnet-20250219,0,0.1,77539,4,-1,0,0
hanoi-trck,14,1,claude-3-7-sonnet-20250219,32000,0.1,56357,44838,-1,20,0
hanoi-trck,14,1,deepseek-chat,0,0.1,2320,4,-1,7,0
hanoi-trck,14,1,gemini-2.5-pro-preview-06-05,32000,0.1,56609,1904,444,7,0
hanoi-trck,14,1,gpt-4.1-2025-04-14,0,0.1,5285,4,-1,11,0
hanoi-trck,14,1,sonar-reasoning-pro,32000,0.1,3254,12629,-1,8,0
hanoi-trck,14,2,claude-3-7-sonnet-20250219,0,0.1,41589,4,-1,5,0
hanoi-trck,14,2,claude-3-7-sonnet-20250219,32000,0.1,7578,49007,-1,31,0
hanoi-trck,14,2,deepseek-chat,0,0.1,4691,4,-1,3,0
hanoi-trck,14,2,gemini-2.5-pro-preview-06-05,32000,0.1,53713,2996,-1,111,0
hanoi-trck,14,2,gpt-4.1-2025-04-14,0,0.1,18300,4,-1,11,0
hanoi-trck,14,2,sonar-reasoning-pro,32000,0.1,4614,19123,-1,19,0
hanoi-trck,14,3,claude-3-7-sonnet-20250219,0,0.1,23022,4,-1,0,0
hanoi-trck,14,3,claude-3-7-sonnet-20250219,32000,0.1,29285,58287,-1,2,0
hanoi-trck,14,3,deepseek-chat,0,0.1,2787,4,-1,5,0
hanoi-trck,14,3,gemini-2.5-pro-preview-06-05,32000,0.1,25522,3070,-1,12,0
hanoi-trck,14,3,gpt-4.1-2025-04-14,0,0.1,39905,4,-1,4,0
hanoi-trck,14,3,sonar-reasoning-pro,32000,0.1,932,9765,-1,3,0
hanoi-trck,14,4,claude-3-7-sonnet-20250219,0,0.1,12041,4,-1,3,0
hanoi-trck,14,4,claude-3-7-sonnet-20250219,32000,0.1,41791,35738,-1,4,0
hanoi-trck,14,4,deepseek-chat,0,0.1,5254,4,-1,3,0
