experiment,n,i,model,reasoning_budget,temperature,response_chars,thoughts_chars,first_correction,valid_prefix_length,is_valid_solution
hanoi-adj,14,0,claude-3-7-sonnet-20250219,0,0.1,61855,4,-1,15,0
hanoi-adj,14,0,claude-3-7-sonnet-20250219,32000,0.1,68229,32583,-1,1279,0
hanoi-adj,14,0,deepseek-chat,0,0.1,11034,4,-1,79,0
hanoi-adj,14,0,gemini-2.5-pro-preview-06-05,32000,0.1,55310,1647,-1,1535,0
hanoi-adj,14,0,gpt-4.1-2025-04-14,0,0.1,16908,4,-1,87,0
hanoi-adj,14,0,sonar-reasoning-pro,32000,0.1,3892,10137,-1,39,0
hanoi-adj,14,1,claude-3-7-sonnet-20250219,0,0.1,85502,4,-1,15,0
hanoi-adj,14,1,claude-3-7-sonnet-20250219,32000,0.1,4,96842,-1,0,0
hanoi-adj,14,1,deepseek-chat,0,0.1,11036,4,-1,79,0
hanoi-adj,14,1,gemini-2.5-pro-preview-06-05,32000,0.1,44044,1503,-1,895,0
hanoi-adj,14,1,gpt-4.1-2025-04-14,0,0.1,15876,4,-1,351,0
hanoi-adj,14,1,sonar-reasoning-pro,32000,0.1,16008,15220,-1,39,0
hanoi-adj,14,2,claude-3-7-sonnet-20250219,0,0.1,72063,4,-1,15,0
hanoi-adj,14,2,claude-3-7-sonnet-20250219,32000,0.1,4,96827,-1,0,0
hanoi-adj,14,2,deepseek-chat,0,0.1,11034,4,-1,79,0
hanoi-adj,14,2,gemini-2.5-pro-preview-06-05,32000,0.1,49163,1620,-1,1535,0
hanoi-adj,14,2,gpt-4.1-2025-04-14,0,0.1,712,4,-1,0,0
hanoi-adj,14,2,sonar-reasoning-pro,32000,0.1,2823,20101,-1,39,0
hanoi-adj,14,3,claude-3-7-sonnet-20250219,0,0.1,78218,4,-1,15,0
hanoi-adj,14,3,claude-3-7-sonnet-20250219,32000,0.1,68334,30738,-1,11,0
hanoi-adj,14,3,deepseek-chat,0,0.1,11017,4,-1,79,0
hanoi-adj,14,3,gemini-2.5-pro-preview-06-05,32000,0.1,53260,2528,-1,1535,0
hanoi-adj,14,3,gpt-4.1-2025-04-14,0,0.1,13068,4,-1,223,0
hanoi-adj,14,3,sonar-reasoning-pro,32000,0.1,4351,19412,-1,15,0
hanoi-adj,14,4,claude-3-7-sonnet-20250219,0,0.1,24952,4,-1,15,0
hanoi-adj,14,4,claude-3-7-sonnet-20250219,32000,0.1,4,91856,-1,0,0
hanoi-adj,14,4,deepseek-chat,0,0.1,11036,4,-1,79,0
hanoi-adj,14,4,gemini-2.5-pro-preview-06-05,32000,0.1,40206,1690,-1,735,0
hanoi-adj,14,4,gpt-4.1-2025-04-14,0,0.1,9985,4,-1,223,0
hanoi-adj,14,4,sonar-reasoning-pro,32000,0.1,1306,11612,-1,127,0
hanoi-adj,14,5,claude-3-7-sonnet-20250219,0,0.1,85505,4,-1,15,0
hanoi-adj,14,5,claude-3-7-sonnet-20250219,32000,0.1,71181,31905,-1,15,0
hanoi-adj,14,5,deepseek-chat,0,0.1,11036,4,-1,79,0
hanoi-adj,14,5,gemini-2.5-pro-preview-06-05,32000,0.1,38921,1151,-1,4,0
hanoi-adj,14,5,gpt-4.1-2025-04-14,0,0.1,15364,4,-1,767,0
hanoi-adj,14,5,sonar-reasoning-pro,32000,0.1,18141,10179,-1,39,0
hanoi-adj,14,6,claude-3-7-sonnet-20250219,0,0.1,85501,4,-1,15,0
hanoi-adj,14,6,claude-3-7-sonnet-20250219,32000,0.1,45078,53141,-1,39,0
hanoi-adj,14,6,deepseek-chat,0,0.1,11034,4,-1,479,0
hanoi-adj,14,6,gemini-2.5-pro-preview-06-05,32000,0.1,57362,1383,-1,895,0
hanoi-adj,14,6,gpt-4.1-2025-04-14,0,0.1,15364,4,-1,351,0
hanoi-adj,14,6,sonar-reasoning-pro,32000,0.1,16610,14896,-1,39,0
hanoi-adj,14,7,claude-3-7-sonnet-20250219,0,0.1,27050,4,-1,15,0
hanoi-adj,14,7,claude-3-7-sonnet-20250219,32000,0.1,56917,57748,-1,2559,0
hanoi-adj,14,7,deepseek-chat,0,0.1,11034,4,-1,479,0
hanoi-adj,14,7,gemini-2.5-pro-preview-06-05,32000,0.1,51213,1836,-1,1535,0
hanoi-adj,14,7,gpt-4.1-2025-04-14,0,0.1,14340,4,-1,351,0
hanoi-adj,14,7,sonar-reasoning-pro,32000,0.1,16520,14952,-1,31,0
hanoi-adj,14,8,claude-3-7-sonnet-20250219,0,0.1,45328,4,-1,15,0
hanoi-adj,14,8,claude-3-7-sonnet-20250219,32000,0.1,59084,50517,-1,13,0
hanoi-adj,14,8,deepseek-chat,0,0.1,11035,4,-1,79,0
hanoi-adj,14,8,gemini-2.5-pro-preview-06-05,32000,0.1,36874,2298,-1,895,0
hanoi-adj,14,8,gpt-4.1-2025-04-14,0,0.1,13068,4,-1,223,0
hanoi-adj,14,8,sonar-reasoning-pro,32000,0.1,17997,10442,-1,31,0
hanoi-adj,14,9,claude-3-7-sonnet-20250219,0,0.1,85503,4,-1,15,0
hanoi-adj,14,9,claude-3-7-sonnet-20250219,32000,0.1,60952,43537,-1,13,0
hanoi-adj,14,9,deepseek-chat,0,0.1,11034,4,-1,287,0
hanoi-adj,14,9,gemini-2.5-pro-preview-06-05,32000,0.1,49164,1957,-1,1535,0
hanoi-adj,14,9,gpt-4.1-2025-04-14,0,0.1,14852,4,-1,351,0
hanoi-adj,14,9,sonar-reasoning-pro,32000,0.1,20474,2869,-1,39,0
hanoi-adj,12,0,claude-3-7-sonnet-20250219,0,0.1,38305,4,-1,15,0
hanoi-adj,12,0,claude-3-7-sonnet-20250219,32000,0.1,30734,69631,-1,11,0
hanoi-adj,12,0,deepseek-chat,0,0.1,11011,4,-1,479,0
hanoi-adj,12,0,gemini-2.5-pro-preview-06-05,32000,0.1,28680,2310,-1,1791,0
hanoi-adj,12,0,gpt-4.1-2025-04-14,0,0.1,11522,4,-1,223,0
hanoi-adj,12,0,sonar-reasoning-pro,32000,0.1,11598,5177,-1,15,0
hanoi-adj,12,1,claude-3-7-sonnet-20250219,0,0.1,49685,4,-1,15,0
hanoi-adj,12,1,claude-3-7-sonnet-20250219,32000,0.1,4,100597,-1,0,0
hanoi-adj,12,1,deepseek-chat,0,0.1,9324,4,-1,223,0
hanoi-adj,12,1,gemini-2.5-pro-preview-06-05,32000,0.1,28678,994,-1,1791,0
hanoi-adj,12,1,gpt-4.1-2025-04-14,0,0.1,9986,4,-1,223,0
hanoi-adj,12,1,sonar-reasoning-pro,32000,0.1,17924,10523,-1,15,0
hanoi-adj,12,2,claude-3-7-sonnet-20250219,0,0.1,26994,4,-1,2559,0
hanoi-adj,12,2,claude-3-7-sonnet-20250219,32000,0.1,4,87926,-1,0,0
hanoi-adj,12,2,deepseek-chat,0,0.1,10994,4,-1,383,0
hanoi-adj,12,2,gemini-2.5-pro-preview-06-05,32000,0.1,20484,1691,-1,895,0
hanoi-adj,12,2,gpt-4.1-2025-04-14,0,0.1,8970,4,-1,223,0
hanoi-adj,12,2,sonar-reasoning-pro,32000,0.1,7181,9735,-1,39,0
hanoi-adj,12,3,claude-3-7-sonnet-20250219,0,0.1,35234,4,-1,2559,0
hanoi-adj,12,3,claude-3-7-sonnet-20250219,32000,0.1,28677,53199,-1,15,0
hanoi-adj,12,3,deepseek-chat,0,0.1,10993,4,-1,79,0
hanoi-adj,12,3,gemini-2.5-pro-preview-06-05,32000,0.1,20492,1160,-1,895,0
hanoi-adj,12,3,gpt-4.1-2025-04-14,0,0.1,11267,4,-1,703,0
hanoi-adj,12,3,sonar-reasoning-pro,32000,0.1,2516,8537,-1,95,0
hanoi-adj,12,4,claude-3-7-sonnet-20250219,0,0.1,36206,4,-1,15,0
hanoi-adj,12,4,claude-3-7-sonnet-20250219,32000,0.1,33540,40325,-1,23,0
hanoi-adj,12,4,deepseek-chat,0,0.1,10347,4,-1,79,0
hanoi-adj,12,4,gemini-2.5-pro-preview-06-05,32000,0.1,24582,2128,-1,895,0
hanoi-adj,12,4,gpt-4.1-2025-04-14,0,0.1,241,4,-1,0,0
hanoi-adj,12,4,sonar-reasoning-pro,32000,0.1,20008,4450,-1,11,0
hanoi-adj,12,5,claude-3-7-sonnet-20250219,0,0.1,41386,4,-1,15,0
hanoi-adj,12,5,claude-3-7-sonnet-20250219,32000,0.1,19528,75801,-1,13,0
hanoi-adj,12,5,deepseek-chat,0,0.1,8290,4,-1,383,0
hanoi-adj,12,5,gemini-2.5-pro-preview-06-05,32000,0.1,26631,2446,-1,1535,0
hanoi-adj,12,5,gpt-4.1-2025-04-14,0,0.1,11210,4,-1,55,0
hanoi-adj,12,5,sonar-reasoning-pro,32000,0.1,12037,19903,-1,39,0
hanoi-adj,12,6,claude-3-7-sonnet-20250219,0,0.1,29042,4,-1,2559,0
hanoi-adj,12,6,claude-3-7-sonnet-20250219,32000,0.1,29308,42814,-1,2559,0
hanoi-adj,12,6,deepseek-chat,0,0.1,10994,4,-1,383,0
hanoi-adj,12,6,gemini-2.5-pro-preview-06-05,32000,0.1,32775,2582,-1,1535,0
hanoi-adj,12,6,gpt-4.1-2025-04-14,0,0.1,10754,4,-1,351,0
hanoi-adj,12,6,sonar-reasoning-pro,32000,0.1,16060,15869,-1,39,0
hanoi-adj,12,7,claude-3-7-sonnet-20250219,0,0.1,26994,4,-1,2559,0
hanoi-adj,12,7,claude-3-7-sonnet-20250219,32000,0.1,21269,66172,-1,15,0
hanoi-adj,12,7,deepseek-chat,0,0.1,10994,4,-1,287,0
hanoi-adj,12,7,gemini-2.5-pro-preview-06-05,32000,0.1,19467,1385,-1,895,0
hanoi-adj,12,7,gpt-4.1-2025-04-14,0,0.1,10242,4,-1,351,0
hanoi-adj,12,7,sonar-reasoning-pro,32000,0.1,7756,24944,-1,5,0
hanoi-adj,12,8,claude-3-7-sonnet-20250219,0,0.1,37248,4,-1,2559,0
hanoi-adj,12,8,claude-3-7-sonnet-20250219,32000,0.1,4,98379,-1,0,0
hanoi-adj,12,8,deepseek-chat,0,0.1,10994,4,-1,383,0
hanoi-adj,12,8,gemini-2.5-pro-preview-06-05,32000,0.1,30727,2398,-1,1535,0
hanoi-adj,12,8,gpt-4.1-2025-04-14,0,0.1,10754,4,-1,767,0
hanoi-adj,12,8,sonar-reasoning-pro,32000,0.1,15374,16425,-1,39,0
hanoi-adj,12,9,claude-3-7-sonnet-20250219,0,0.1,45492,4,-1,15,0
hanoi-adj,12,9,claude-3-7-sonnet-20250219,32000,0.1,26320,61124,-1,15,0
hanoi-adj,12,9,deepseek-chat,0,0.1,10339,4,-1,79,0
hanoi-adj,12,9,gemini-2.5-pro-preview-06-05,32000,0.1,18181,2068,-1,223,0
hanoi-adj,12,9,gpt-4.1-2025-04-14,0,0.1,371,4,-1,0,0
hanoi-adj,12,9,sonar-reasoning-pro,32000,0.1,13838,13959,-1,127,0
hanoi-adj,11,0,claude-3-7-sonnet-20250219,0,0.1,15743,4,-1,1919,0
hanoi-adj,11,0,claude-3-7-sonnet-20250219,32000,0.1,11963,76693,-1,703,0
hanoi-adj,11,0,deepseek-chat,0,0.1,10082,4,-1,287,0
hanoi-adj,11,0,gemini-2.5-pro-preview-06-05,32000,0.1,14339,1682,-1,895,0
hanoi-adj,11,0,gpt-4.1-2025-04-14,0,0.1,11073,4,-1,55,0
hanoi-adj,11,0,sonar-reasoning-pro,32000,0.1,12804,9729,-1,22,0
hanoi-adj,11,1,claude-3-7-sonnet-20250219,0,0.1,15741,4,-1,1919,0
hanoi-adj,11,1,claude-3-7-sonnet-20250219,32000,0.1,14338,97261,-1,319,0
hanoi-adj,11,1,deepseek-chat,0,0.1,7265,4,-1,383,0
hanoi-adj,11,1,gemini-2.5-pro-preview-06-05,32000,0.1,15362,2291,-1,895,0
hanoi-adj,11,1,gpt-4.1-2025-04-14,0,0.1,9729,4,-1,703,0
hanoi-adj,11,1,sonar-reasoning-pro,32000,0.1,8239,11368,-1,15,0
hanoi-adj,11,2,claude-3-7-sonnet-20250219,0,0.1,15743,4,-1,1919,0
hanoi-adj,11,2,claude-3-7-sonnet-20250219,32000,0.1,16616,49276,-1,31,0
hanoi-adj,11,2,deepseek-chat,0,0.1,10993,4,-1,383,0
hanoi-adj,11,2,gemini-2.5-pro-preview-06-05,32000,0.1,15363,1461,-1,895,0
hanoi-adj,11,2,gpt-4.1-2025-04-14,0,0.1,421,4,-1,0,0
hanoi-adj,11,2,sonar-reasoning-pro,32000,0.1,4413,6207,-1,22,0
hanoi-adj,11,3,claude-3-7-sonnet-20250219,0,0.1,16768,4,-1,2047,1
hanoi-adj,11,3,claude-3-7-sonnet-20250219,32000,0.1,16394,60394,-1,79,0
hanoi-adj,11,3,deepseek-chat,0,0.1,7265,4,-1,160,0
hanoi-adj,11,3,gemini-2.5-pro-preview-06-05,32000,0.1,15362,1904,-1,4,0
hanoi-adj,11,3,gpt-4.1-2025-04-14,0,0.1,8705,4,-1,223,0
hanoi-adj,11,3,sonar-reasoning-pro,32000,0.1,7811,21792,-1,15,0
hanoi-adj,11,4,claude-3-7-sonnet-20250219,0,0.1,15743,4,-1,1919,0
hanoi-adj,11,4,claude-3-7-sonnet-20250219,32000,0.1,11173,86236,-1,11,0
hanoi-adj,11,4,deepseek-chat,0,0.1,8546,4,-1,383,0
hanoi-adj,11,4,gemini-2.5-pro-preview-06-05,32000,0.1,15362,2482,-1,895,0
hanoi-adj,11,4,gpt-4.1-2025-04-14,0,0.1,8705,4,-1,87,0
hanoi-adj,11,4,sonar-reasoning-pro,32000,0.1,8203,5606,-1,383,0
hanoi-adj,11,5,claude-3-7-sonnet-20250219,0,0.1,33046,4,-1,2047,1
hanoi-adj,11,5,claude-3-7-sonnet-20250219,32000,0.1,14858,43442,-1,15,0
hanoi-adj,11,5,deepseek-chat,0,0.1,11016,4,-1,383,0
hanoi-adj,11,5,gemini-2.5-pro-preview-06-05,32000,0.1,15362,1640,-1,895,0
hanoi-adj,11,5,gpt-4.1-2025-04-14,0,0.1,8193,4,-1,87,0
hanoi-adj,11,5,sonar-reasoning-pro,32000,0.1,11780,18332,-1,15,0
hanoi-adj,11,6,claude-3-7-sonnet-20250219,0,0.1,16768,4,-1,2047,1
hanoi-adj,11,6,claude-3-7-sonnet-20250219,32000,0.1,16560,44072,-1,79,0
hanoi-adj,11,6,deepseek-chat,0,0.1,9059,4,-1,223,0
hanoi-adj,11,6,gemini-2.5-pro-preview-06-05,32000,0.1,14339,1339,-1,223,0
hanoi-adj,11,6,gpt-4.1-2025-04-14,0,0.1,8961,4,-1,223,0
hanoi-adj,11,6,sonar-reasoning-pro,32000,0.1,10243,22852,-1,15,0
hanoi-adj,11,7,claude-3-7-sonnet-20250219,0,0.1,15743,4,-1,1919,0
hanoi-adj,11,7,claude-3-7-sonnet-20250219,32000,0.1,16386,33698,-1,2047,1
hanoi-adj,11,7,deepseek-chat,0,0.1,10082,4,-1,287,0
hanoi-adj,11,7,gemini-2.5-pro-preview-06-05,32000,0.1,14978,1749,-1,39,0
hanoi-adj,11,7,gpt-4.1-2025-04-14,0,0.1,7681,4,-1,87,0
hanoi-adj,11,7,sonar-reasoning-pro,32000,0.1,14961,18440,-1,79,0
hanoi-adj,11,8,claude-3-7-sonnet-20250219,0,0.1,15743,4,-1,1919,0
hanoi-adj,11,8,claude-3-7-sonnet-20250219,32000,0.1,16394,30202,-1,639,0
hanoi-adj,11,8,deepseek-chat,0,0.1,5985,4,-1,79,0
hanoi-adj,11,8,gemini-2.5-pro-preview-06-05,32000,0.1,16387,1294,-1,2047,1
hanoi-adj,11,8,gpt-4.1-2025-04-14,0,0.1,10241,4,-1,87,0
hanoi-adj,11,8,sonar-reasoning-pro,32000,0.1,16267,6512,-1,15,0
hanoi-adj,11,9,claude-3-7-sonnet-20250219,0,0.1,33046,4,-1,2047,1
hanoi-adj,11,9,claude-3-7-sonnet-20250219,32000,0.1,16386,48058,-1,13,0
hanoi-adj,11,9,deepseek-chat,0,0.1,6250,4,-1,79,0
hanoi-adj,11,9,gemini-2.5-pro-preview-06-05,32000,0.1,14338,2021,-1,223,0
hanoi-adj,11,9,gpt-4.1-2025-04-14,0,0.1,9985,4,-1,223,0
hanoi-adj,11,9,sonar-reasoning-pro,32000,0.1,10508,8403,-1,383,0
hanoi-adj,10,0,claude-3-7-sonnet-20250219,0,0.1,8569,4,-1,1023,0
hanoi-adj,10,0,claude-3-7-sonnet-20250219,32000,0.1,8192,41090,-1,15,0
hanoi-adj,10,0,deepseek-chat,0,0.1,7009,4,-1,287,0
hanoi-adj,10,0,gemini-2.5-pro-preview-06-05,32000,0.1,8192,1978,-1,1023,1
hanoi-adj,10,0,gpt-4.1-2025-04-14,0,0.1,5632,4,-1,87,0
hanoi-adj,10,0,sonar-reasoning-pro,32000,0.1,6914,6161,-1,383,0
hanoi-adj,10,1,claude-3-7-sonnet-20250219,0,0.1,10507,4,-1,1023,0
