experiment,n,i,model,reasoning_budget,temperature,response_chars,thoughts_chars,first_correction,valid_prefix_length,is_valid_solution
hanoi-base,14,0,claude-3-7-sonnet-20250219,0,0.5,84694,4,-1,159,0
hanoi-base,14,0,claude-3-7-sonnet-20250219,32000,0.5,4,75609,-1,0,0
hanoi-base,14,0,deepseek-chat,0,0.5,5091,4,-1,16,0
hanoi-base,14,0,gemini-2.5-pro-preview-06-05,32000,0.5,75515,1837,-1,767,0
hanoi-base,14,0,gpt-4.1-2025-04-14,0,0.5,2389,4,-1,0,0
hanoi-base,14,0,sonar-reasoning-pro,32000,0.5,2049,23804,-1,0,0
hanoi-base,14,1,claude-3-7-sonnet-20250219,0,0.5,31720,4,-1,15,0
hanoi-base,14,1,claude-3-7-sonnet-20250219,32000,0.5,2620,70753,-1,10,0
hanoi-base,14,1,deepseek-chat,0,0.5,5275,4,-1,16,0
hanoi-base,14,1,gemini-2.5-pro-preview-06-05,32000,0.5,62614,2249,-1,1535,0
hanoi-base,14,1,gpt-4.1-2025-04-14,0,0.5,1651,4,-1,10,0
hanoi-base,14,1,sonar-reasoning-pro,32000,0.5,1505,10769,-1,7,0
hanoi-base,14,2,claude-3-7-sonnet-20250219,0,0.5,80217,4,-1,15,0
hanoi-base,14,2,claude-3-7-sonnet-20250219,32000,0.5,2228,37249,-1,15,0
hanoi-base,14,2,deepseek-chat,0,0.5,4728,4,-1,8,0
hanoi-base,14,2,gemini-2.5-pro-preview-06-05,32000,0.5,50820,2182,-1,895,0
hanoi-base,14,2,gpt-4.1-2025-04-14,0,0.5,2284,4,-1,0,0
hanoi-base,14,2,sonar-reasoning-pro,32000,0.5,2699,14846,-1,0,0
hanoi-base,14,3,claude-3-7-sonnet-20250219,0,0.5,2380,4,-1,15,0
hanoi-base,14,3,claude-3-7-sonnet-20250219,32000,0.5,3933,43281,-1,175,0
hanoi-base,14,3,deepseek-chat,0,0.5,5785,4,-1,16,0
hanoi-base,14,3,gemini-2.5-pro-preview-06-05,32000,0.5,44234,2104,-1,767,0
hanoi-base,14,3,gpt-4.1-2025-04-14,0,0.5,2561,4,-1,31,0
hanoi-base,14,3,sonar-reasoning-pro,32000,0.5,2134,11461,-1,0,0
hanoi-base,14,4,claude-3-7-sonnet-20250219,0,0.5,1946,4,-1,15,0
hanoi-base,14,4,claude-3-7-sonnet-20250219,32000,0.5,2201,44058,-1,15,0
hanoi-base,14,4,deepseek-chat,0,0.5,5155,4,-1,16,0
hanoi-base,14,4,gemini-2.5-pro-preview-06-05,32000,0.5,44365,2647,-1,191,0
hanoi-base,14,4,gpt-4.1-2025-04-14,0,0.5,2025,4,-1,10,0
hanoi-base,14,4,sonar-reasoning-pro,32000,0.5,1386,9834,-1,0,0
hanoi-base,14,5,claude-3-7-sonnet-20250219,0,0.5,36155,4,-1,15,0
hanoi-base,14,5,claude-3-7-sonnet-20250219,32000,0.5,4,105473,-1,0,0
hanoi-base,14,5,deepseek-chat,0,0.5,4841,4,-1,16,0
hanoi-base,14,5,gemini-2.5-pro-preview-06-05,32000,0.5,56878,1941,-1,1279,0
hanoi-base,14,5,gpt-4.1-2025-04-14,0,0.5,1749,4,-1,0,0
hanoi-base,14,5,sonar-reasoning-pro,32000,0.5,1243,9297,-1,7,0
hanoi-base,14,6,claude-3-7-sonnet-20250219,0,0.5,2112,4,-1,8,0
hanoi-base,14,6,claude-3-7-sonnet-20250219,32000,0.5,2677,24815,-1,67,0
hanoi-base,14,6,deepseek-chat,0,0.5,6247,4,-1,10,0
hanoi-base,14,6,gemini-2.5-pro-preview-06-05,32000,0.5,1199,2449,-1,10,0
hanoi-base,14,6,gpt-4.1-2025-04-14,0,0.5,2075,4,-1,3,0
hanoi-base,14,6,sonar-reasoning-pro,32000,0.5,2105,14102,-1,7,0
hanoi-base,14,7,claude-3-7-sonnet-20250219,0,0.5,36248,4,-1,15,0
hanoi-base,14,7,claude-3-7-sonnet-20250219,32000,0.5,4,101653,-1,0,0
hanoi-base,14,7,deepseek-chat,0,0.5,5077,4,-1,16,0
hanoi-base,14,7,gemini-2.5-pro-preview-06-05,32000,0.5,63877,3218,-1,1279,0
hanoi-base,14,7,gpt-4.1-2025-04-14,0,0.5,1757,4,-1,10,0
hanoi-base,14,7,sonar-reasoning-pro,32000,0.5,1651,12426,-1,8,0
hanoi-base,14,8,claude-3-7-sonnet-20250219,0,0.5,4234,4,-1,15,0
hanoi-base,14,8,claude-3-7-sonnet-20250219,32000,0.5,1923,49535,-1,15,0
hanoi-base,14,8,deepseek-chat,0,0.5,6078,4,-1,16,0
hanoi-base,14,8,gemini-2.5-pro-preview-06-05,32000,0.5,36968,2699,-1,191,0
hanoi-base,14,8,gpt-4.1-2025-04-14,0,0.5,1772,4,-1,10,0
