experiment,n,i,model,reasoning_budget,temperature,response_chars,thoughts_chars,first_correction,valid_prefix_length,is_valid_solution
hanoi-csv,14,0,claude-3-7-sonnet-20250219,0,0.1,64253,4,-1,15,0
hanoi-csv,14,0,claude-3-7-sonnet-20250219,32000,0.1,15495,30285,-1,15,0
hanoi-csv,14,0,deepseek-chat,0,0.1,8332,4,-1,79,0
hanoi-csv,14,0,gemini-2.5-pro-preview-06-05,32000,0.1,36900,1087,-1,1535,0
hanoi-csv,14,0,gpt-4.1-2025-04-14,0,0.1,6555,4,-1,703,0
hanoi-csv,14,0,sonar-reasoning-pro,32000,0.1,837,15416,-1,127,0
hanoi-csv,14,1,claude-3-7-sonnet-20250219,0,0.1,49426,4,-1,15,0
hanoi-csv,14,1,claude-3-7-sonnet-20250219,32000,0.1,39833,49353,-1,13,0
hanoi-csv,14,1,deepseek-chat,0,0.1,8339,4,-1,79,0
hanoi-csv,14,1,gemini-2.5-pro-preview-06-05,32000,0.1,39973,1332,-1,1535,0
hanoi-csv,14,1,gpt-4.1-2025-04-14,0,0.1,5402,4,-1,639,0
hanoi-csv,14,1,sonar-reasoning-pro,32000,0.1,837,10855,-1,39,0
hanoi-csv,14,2,claude-3-7-sonnet-20250219,0,0.1,64115,4,-1,15,0
hanoi-csv,14,2,claude-3-7-sonnet-20250219,32000,0.1,42022,42884,-1,15,0
hanoi-csv,14,2,deepseek-chat,0,0.1,8455,4,-1,79,0
hanoi-csv,14,2,gemini-2.5-pro-preview-06-05,32000,0.1,49192,1590,-1,1535,0
hanoi-csv,14,2,gpt-4.1-2025-04-14,0,0.1,4250,4,-1,639,0
hanoi-csv,14,2,sonar-reasoning-pro,32000,0.1,1594,12876,-1,159,0
hanoi-csv,14,3,claude-3-7-sonnet-20250219,0,0.1,64115,4,-1,15,0
hanoi-csv,14,3,claude-3-7-sonnet-20250219,32000,0.1,51318,34302,-1,13,0
hanoi-csv,14,3,deepseek-chat,0,0.1,8331,4,-1,79,0
hanoi-csv,14,3,gemini-2.5-pro-preview-06-05,32000,0.1,30749,4,-1,1535,0
hanoi-csv,14,3,gpt-4.1-2025-04-14,0,0.1,5018,4,-1,703,0
hanoi-csv,14,3,sonar-reasoning-pro,32000,0.1,14240,8147,-1,159,0
hanoi-csv,14,4,claude-3-7-sonnet-20250219,0,0.1,61759,4,-1,15,0
hanoi-csv,14,4,claude-3-7-sonnet-20250219,32000,0.1,19585,54096,-1,13,0
hanoi-csv,14,4,deepseek-chat,0,0.1,8332,4,-1,79,0
hanoi-csv,14,4,gemini-2.5-pro-preview-06-05,32000,0.1,32292,1974,-1,1535,0
hanoi-csv,14,4,gpt-4.1-2025-04-14,0,0.1,4250,4,-1,639,0
hanoi-csv,14,4,sonar-reasoning-pro,32000,0.1,811,16194,-1,127,0
